Ancient place name,Pleiades URI,latlong,Modern name,Geonames URI,,,,,,,,,,,,,,,,,,,,,,,
Syracusae,http://pleiades.stoa.org/places/462503,"37.08415, 15.27628",Siracusa,http://www.geonames.org/2523083/siracusa.html,,,,,,,,,,,,,,,,,,,,,,,
Tauromenium,http://pleiades.stoa.org/places/462506,"37.85358, 15.28851",Taormina,http://www.geonames.org/2522975/taormina.html,,,,,,,,,,,,,,,,,,,,,,,
Thermae Himeraeae,http://pleiades.stoa.org/places/462513,"37.98365, 13.69555",Termini Imerese,http://www.geonames.org/6539140/termini-imerese.html,,,,,,,,,,,,,,,,,,,,,,,
Thermae Selinuntiae,http://pleiades.stoa.org/places/462514,"37.50693, 13.08399",Sciacca,http://www.geonames.org/2523194/sciacca.html,,,,,,,,,,,,,,,,,,,,,,,
Tyndaris,http://pleiades.stoa.org/places/462527,"38.14227, 15.04385",Archaeological park of Tindari,http://www.geonames.org/10282151/tindari-greek-theatre.html,,,,,,,,,,,,,,,,,,,,,,,
"Ustica, ins.",http://pleiades.stoa.org/places/1361,"38.71076, 13.19163",Ustica,http://www.geonames.org/6541326/ustica.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.9779, 12.96473",Alcamo,http://www.geonames.org/2525755/alcamo.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.0790016, 14.8863106",Buscemi,http://pleiades.stoa.org/places/462120,,,,,,,,,,,,,,,,,,,,,,,
,,"37.49025, 14.06216",Caltanissetta,http://www.geonames.org/2525448/caltanissetta.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.03171, 15.06388",Canicattini Bagni,http://www.geonames.org/2525404/canicattini-bagni.html,,,,,,,,,,,,,,,,,,,,,,,
,,"36.95, 14.93333",Castelluccio,http://www.geonames.org/2525091/castelluccio.html,,,,,,,,,,,,,,,,,,,,,,,
,,"36.950799, 14.650095",Castiglione di Ragusa,http://pleiades.stoa.org/places/462144,,,,,,,,,,,,,,,,,,,,,,,
,,"37.8815, 15.12156",Castiglione di Sicilia,http://www.geonames.org/2525079/castiglione-di-sicilia.html,,,,,,,,,,,,,,,,,,,,,,,
,,"36.851421, 14.837505",Cava d'Ispica,http://pleiades.stoa.org/places/462147,,,,,,,,,,,,,,,,,,,,,,,
,,"38.16082, 13.10099",Cinisi,http://www.geonames.org/2524987/cinisi.html,,,,,,,,,,,,,,,,,,,,,,,
,,"37.7905564, 13.3101399",Montagna Vecchia di Corleone,http://pleiades.stoa.org/places/462323,,,,,,,,,,,,,,,,,,,,,,,
,,"37.016817, 14.405837",Cozzo Cicirello,http://pleiades.stoa.org/places/462169,,,,,,,,,,,,,,,,,,,,,,,
