Ancient place name,Pleiades URI,latlong,Modern name,Geonames URI
,,"37.03171, 15.06388",Canicattini Bagni,http://sws.geonames.org/2525404/
,,"38.00893, 14.25757",Castel di Tusa,http://sws.geonames.org/2525099/
,,"36.95, 14.93333",Castelluccio,http://sws.geonames.org/2525091/
,,"37.68081, 12.79194",Castelvetrano,http://sws.geonames.org/2525083/
,http://pleiades.stoa.org/places/462144,"36.950799, 14.650095",Castiglione di Ragusa,
,,"37.8815, 15.12156",Castiglione di Sicilia,http://sws.geonames.org/2525079/
,http://pleiades.stoa.org/places/462147,"36.851421, 14.837505",Cava d'Ispica,
,,"38.16082, 13.10099",Cinisi,http://sws.geonames.org/2524987/
,,"37.73005, 13.18425",Contessa Entellina,http://sws.geonames.org/2524940/
,http://pleiades.stoa.org/places/462169,"37.016817, 14.405837",Cozzo Cicirello,
,,"38.11698, 15.07965",Falcone,http://sws.geonames.org/2524801/
,https://pleiades.stoa.org/places/462217,"37.465295, 14.253326",Gerace,
,,"36.78622, 14.9053",Ispica,http://sws.geonames.org/2524493/
,,"36.85907, 15.11445",Lido di Noto,http://sws.geonames.org/2523996/
,,"37.5984, 13.9152",Marianopoli,http://sws.geonames.org/2524275/
,http://pleiades.stoa.org/places/462109,"37.592762, 13.917678",Montagna di Balate,
,https://pleiades.stoa.org/places/462239,"37.42529, 14.30162",Montagna di Marzo,https://sws.geonames.org/11102431/
,http://pleiades.stoa.org/places/462323,"37.7905564, 13.3101399",Montagna Vecchia di Corleone,
,http://pleiades.stoa.org/places/462073,"37.687063, 13.140947",Monte Adranone,
,http://pleiades.stoa.org/places/462327,"37.7569858, 14.1735113",Monte Alburchia di Gangi,
,http://pleiades.stoa.org/places/462328,"37.66667, 14.28333",Monte Artesino di Nicosia,
,https://pleiades.stoa.org/places/462334,"37.102892, 14.718176",Monte Casasia,https://www.geonames.org/6537815/monterosso-almo
,https://pleiades.stoa.org/places/462336,"37.7963066, 13.0243978",Monte Castellazzo di Poggioreale,
,https://pleiades.stoa.org/places/50391614,"37.280398, 14.7170002",Monte Catalfaro,
,https://pleiades.stoa.org/places/462361,"37.8497898, 13.882395",Monte Riparato di Caltavuturo,
,https://pleiades.stoa.org/places/462365,"37.21765, 14.46907",Monte San Mauro (di Caltagirone),https://sws.geonames.org/10626427/
,,"38.09026, 13.17518",Montelepre,http://sws.geonames.org/2524070/
,,"36.89244, 15.06977",Noto,http://sws.geonames.org/2523998/
,,"37.32955, 14.74474",Palagonia,http://sws.geonames.org/2523927/
,,"37.06261, 14.90593",Palazzolo Acreide,http://sws.geonames.org/2523922/
,,"37.7268, 12.88917",Partanna,http://sws.geonames.org/2523872/
,,"38.14736, 14.96409",Patti,http://sws.geonames.org/2523864/
,,"37.76404, 13.03594",Poggioreale,http://sws.geonames.org/2523747/
,,"37.15512, 15.18248",Priolo Gargallo,https://sws.geonames.org/2523679/
,,"37.72088, 13.43435",Prizzi,http://sws.geonames.org/2523678/
,,"37.26659, 13.96834",Ravanusa,http://sws.geonames.org/2523638/
,,"36.82145, 14.95132",Rosolini,http://sws.geonames.org/2523581/
,https://pleiades.stoa.org/places/462483,"37.502535, 14.119639",Sabucina,https://sws.geonames.org/11951865/
